"YEAR";"TABLE";"LINK";"PATH";"DATE"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1701.dbc";"outputs/2017/SIH/dbc/RDAC1701.dbc";"2019-07-27 11:23:00"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1702.dbc";"outputs/2017/SIH/dbc/RDAC1702.dbc";"2019-07-27 11:23:01"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1703.dbc";"outputs/2017/SIH/dbc/RDAC1703.dbc";"2019-07-27 11:23:02"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1704.dbc";"outputs/2017/SIH/dbc/RDAC1704.dbc";"2019-07-27 11:23:03"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1705.dbc";"outputs/2017/SIH/dbc/RDAC1705.dbc";"2019-07-27 11:23:04"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1706.dbc";"outputs/2017/SIH/dbc/RDAC1706.dbc";"2019-07-27 11:23:05"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1707.dbc";"outputs/2017/SIH/dbc/RDAC1707.dbc";"2019-07-27 11:23:06"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1708.dbc";"outputs/2017/SIH/dbc/RDAC1708.dbc";"2019-07-27 11:23:07"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1709.dbc";"outputs/2017/SIH/dbc/RDAC1709.dbc";"2019-07-27 11:23:08"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1710.dbc";"outputs/2017/SIH/dbc/RDAC1710.dbc";"2019-07-27 11:23:09"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1711.dbc";"outputs/2017/SIH/dbc/RDAC1711.dbc";"2019-07-27 11:23:10"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1712.dbc";"outputs/2017/SIH/dbc/RDAC1712.dbc";"2019-07-27 11:23:11"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1701.dbc";"outputs/2017/SIH/dbc/RDAL1701.dbc";"2019-07-27 11:23:12"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1702.dbc";"outputs/2017/SIH/dbc/RDAL1702.dbc";"2019-07-27 11:23:14"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1703.dbc";"outputs/2017/SIH/dbc/RDAL1703.dbc";"2019-07-27 11:23:15"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1704.dbc";"outputs/2017/SIH/dbc/RDAL1704.dbc";"2019-07-27 11:23:17"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1705.dbc";"outputs/2017/SIH/dbc/RDAL1705.dbc";"2019-07-27 11:23:18"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1706.dbc";"outputs/2017/SIH/dbc/RDAL1706.dbc";"2019-07-27 11:23:20"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1707.dbc";"outputs/2017/SIH/dbc/RDAL1707.dbc";"2019-07-27 11:23:21"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1708.dbc";"outputs/2017/SIH/dbc/RDAL1708.dbc";"2019-07-27 11:23:22"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1709.dbc";"outputs/2017/SIH/dbc/RDAL1709.dbc";"2019-07-27 11:23:24"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1710.dbc";"outputs/2017/SIH/dbc/RDAL1710.dbc";"2019-07-27 11:23:25"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1711.dbc";"outputs/2017/SIH/dbc/RDAL1711.dbc";"2019-07-27 11:23:27"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1712.dbc";"outputs/2017/SIH/dbc/RDAL1712.dbc";"2019-07-27 11:23:28"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1701.dbc";"outputs/2017/SIH/dbc/RDAM1701.dbc";"2019-07-27 11:23:29"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1702.dbc";"outputs/2017/SIH/dbc/RDAM1702.dbc";"2019-07-27 11:23:30"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1703.dbc";"outputs/2017/SIH/dbc/RDAM1703.dbc";"2019-07-27 11:23:32"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1704.dbc";"outputs/2017/SIH/dbc/RDAM1704.dbc";"2019-07-27 11:23:33"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1705.dbc";"outputs/2017/SIH/dbc/RDAM1705.dbc";"2019-07-27 11:23:35"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1706.dbc";"outputs/2017/SIH/dbc/RDAM1706.dbc";"2019-07-27 11:23:36"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1707.dbc";"outputs/2017/SIH/dbc/RDAM1707.dbc";"2019-07-27 11:23:37"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1708.dbc";"outputs/2017/SIH/dbc/RDAM1708.dbc";"2019-07-27 11:23:39"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1709.dbc";"outputs/2017/SIH/dbc/RDAM1709.dbc";"2019-07-27 11:23:40"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1710.dbc";"outputs/2017/SIH/dbc/RDAM1710.dbc";"2019-07-27 11:23:41"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1711.dbc";"outputs/2017/SIH/dbc/RDAM1711.dbc";"2019-07-27 11:23:42"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1712.dbc";"outputs/2017/SIH/dbc/RDAM1712.dbc";"2019-07-27 11:23:43"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1701.dbc";"outputs/2017/SIH/dbc/RDAP1701.dbc";"2019-07-27 11:23:44"
"2017";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1702.dbc";"outputs/2017/SIH/dbc/RDAP1702.dbc";"2019-07-27 11:23:45"
