"YEAR";"TABLE";"LINK";"PATH";"DATE"
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1801.dbc";"outputs/2018/SIH/dbc/RDAC1801.dbc";2019-07-29 09:36:05
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1802.dbc";"outputs/2018/SIH/dbc/RDAC1802.dbc";2019-07-29 09:36:07
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1803.dbc";"outputs/2018/SIH/dbc/RDAC1803.dbc";2019-07-29 09:36:08
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1804.dbc";"outputs/2018/SIH/dbc/RDAC1804.dbc";2019-07-29 09:36:09
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1805.dbc";"outputs/2018/SIH/dbc/RDAC1805.dbc";2019-07-29 09:36:10
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1806.dbc";"outputs/2018/SIH/dbc/RDAC1806.dbc";2019-07-29 09:36:11
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1807.dbc";"outputs/2018/SIH/dbc/RDAC1807.dbc";2019-07-29 09:36:12
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1808.dbc";"outputs/2018/SIH/dbc/RDAC1808.dbc";2019-07-29 09:36:13
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1809.dbc";"outputs/2018/SIH/dbc/RDAC1809.dbc";2019-07-29 09:36:14
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1810.dbc";"outputs/2018/SIH/dbc/RDAC1810.dbc";2019-07-29 09:36:15
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1811.dbc";"outputs/2018/SIH/dbc/RDAC1811.dbc";2019-07-29 09:36:16
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAC1812.dbc";"outputs/2018/SIH/dbc/RDAC1812.dbc";2019-07-29 09:36:17
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1801.dbc";"outputs/2018/SIH/dbc/RDAL1801.dbc";2019-07-29 09:36:19
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1802.dbc";"outputs/2018/SIH/dbc/RDAL1802.dbc";2019-07-29 09:36:20
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1803.dbc";"outputs/2018/SIH/dbc/RDAL1803.dbc";2019-07-29 09:36:21
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1804.dbc";"outputs/2018/SIH/dbc/RDAL1804.dbc";2019-07-29 09:36:23
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1805.dbc";"outputs/2018/SIH/dbc/RDAL1805.dbc";2019-07-29 09:36:24
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1806.dbc";"outputs/2018/SIH/dbc/RDAL1806.dbc";2019-07-29 09:36:25
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1807.dbc";"outputs/2018/SIH/dbc/RDAL1807.dbc";2019-07-29 09:36:27
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1808.dbc";"outputs/2018/SIH/dbc/RDAL1808.dbc";2019-07-29 09:36:28
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1809.dbc";"outputs/2018/SIH/dbc/RDAL1809.dbc";2019-07-29 09:36:30
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1810.dbc";"outputs/2018/SIH/dbc/RDAL1810.dbc";2019-07-29 09:36:31
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1811.dbc";"outputs/2018/SIH/dbc/RDAL1811.dbc";2019-07-29 09:36:33
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAL1812.dbc";"outputs/2018/SIH/dbc/RDAL1812.dbc";2019-07-29 09:36:34
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1801.dbc";"outputs/2018/SIH/dbc/RDAM1801.dbc";2019-07-29 09:36:35
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1802.dbc";"outputs/2018/SIH/dbc/RDAM1802.dbc";2019-07-29 09:36:36
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1803.dbc";"outputs/2018/SIH/dbc/RDAM1803.dbc";2019-07-29 09:36:38
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1804.dbc";"outputs/2018/SIH/dbc/RDAM1804.dbc";2019-07-29 09:36:39
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1805.dbc";"outputs/2018/SIH/dbc/RDAM1805.dbc";2019-07-29 09:36:41
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1806.dbc";"outputs/2018/SIH/dbc/RDAM1806.dbc";2019-07-29 09:36:42
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1807.dbc";"outputs/2018/SIH/dbc/RDAM1807.dbc";2019-07-29 09:36:43
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1808.dbc";"outputs/2018/SIH/dbc/RDAM1808.dbc";2019-07-29 09:36:45
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1809.dbc";"outputs/2018/SIH/dbc/RDAM1809.dbc";2019-07-29 09:36:46
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1810.dbc";"outputs/2018/SIH/dbc/RDAM1810.dbc";2019-07-29 09:36:47
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1811.dbc";"outputs/2018/SIH/dbc/RDAM1811.dbc";2019-07-29 09:36:49
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAM1812.dbc";"outputs/2018/SIH/dbc/RDAM1812.dbc";2019-07-29 09:36:50
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1801.dbc";"outputs/2018/SIH/dbc/RDAP1801.dbc";2019-07-29 09:36:51
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1802.dbc";"outputs/2018/SIH/dbc/RDAP1802.dbc";2019-07-29 09:36:52
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1803.dbc";"outputs/2018/SIH/dbc/RDAP1803.dbc";2019-07-29 09:36:53
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1804.dbc";"outputs/2018/SIH/dbc/RDAP1804.dbc";2019-07-29 09:36:54
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1805.dbc";"outputs/2018/SIH/dbc/RDAP1805.dbc";2019-07-29 09:36:55
"2018";"SIH";"ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/RDAP1806.dbc";"outputs/2018/SIH/dbc/RDAP1806.dbc";2019-07-29 09:36:56
